County,Year,Conviction,Violent Felony Offenses (VFO),Drugs,DWI,Property,Other,Total
Albany,1970,Felony,9,13,0,14,6,42
Albany,1970,Misdemeanor,0,39,1,37,30,107
Allegany,1970,Felony,1,0,0,10,2,13
Allegany,1970,Misdemeanor,0,0,0,7,1,8
Bronx,1970,Felony,9,30,0,32,67,138
Bronx,1970,Misdemeanor,0,361,1,207,257,826
Broome,1970,Felony,4,15,2,25,16,62
Broome,1970,Misdemeanor,0,8,0,11,5,24
Cattaraugus,1970,Felony,0,3,1,4,4,12
Cattaraugus,1970,Misdemeanor,0,1,0,3,3,7
Cayuga,1970,Felony,0,0,0,7,0,7
Cayuga,1970,Misdemeanor,0,0,0,6,1,7
Chautauqua,1970,Felony,6,1,1,20,3,31
Chautauqua,1970,Misdemeanor,0,1,0,8,2,11
Chemung,1970,Felony,1,7,1,13,0,22
Chemung,1970,Misdemeanor,0,1,0,3,1,5
Chenango,1970,Felony,1,0,0,3,1,5
Chenango,1970,Misdemeanor,0,0,0,7,2,9
Clinton,1970,Felony,0,0,0,6,0,6
Clinton,1970,Misdemeanor,0,1,0,6,1,8
Columbia,1970,Felony,0,0,0,8,0,8
Columbia,1970,Misdemeanor,0,3,0,8,11,22
Cortland,1970,Felony,1,2,0,1,2,6
Cortland,1970,Misdemeanor,0,2,0,3,1,6
Delaware,1970,Felony,1,3,0,2,1,7
Delaware,1970,Misdemeanor,0,1,0,7,4,12
Dutchess,1970,Felony,3,3,1,7,2,16
Dutchess,1970,Misdemeanor,0,7,0,5,9,21
Erie,1970,Felony,25,23,0,37,31,116
Erie,1970,Misdemeanor,0,25,0,86,97,208
Essex,1970,Felony,0,1,0,2,2,5
Essex,1970,Misdemeanor,0,8,0,7,2,17
Franklin,1970,Felony,1,2,0,8,0,11
Franklin,1970,Misdemeanor,0,0,0,6,1,7
Fulton,1970,Felony,0,4,0,12,0,16
Fulton,1970,Misdemeanor,0,0,0,2,2,4
Genesee,1970,Felony,0,0,3,0,0,3
Genesee,1970,Misdemeanor,0,0,0,0,1,1
Greene,1970,Felony,0,3,0,6,2,11
Greene,1970,Misdemeanor,0,2,1,6,4,13
Hamilton,1970,Felony,0,1,0,0,0,1
Hamilton,1970,Misdemeanor,0,0,0,0,0,0
Herkimer,1970,Felony,4,0,0,1,0,5
Herkimer,1970,Misdemeanor,0,1,0,6,2,9
Jefferson,1970,Felony,3,1,0,10,2,16
Jefferson,1970,Misdemeanor,0,2,1,17,4,24
Kings,1970,Felony,47,26,1,32,210,316
Kings,1970,Misdemeanor,0,130,2,173,137,442
Lewis,1970,Felony,0,0,0,0,0,0
Lewis,1970,Misdemeanor,0,0,0,4,1,5
Livingston,1970,Felony,0,0,0,5,1,6
Livingston,1970,Misdemeanor,0,2,0,2,1,5
Madison,1970,Felony,0,0,0,2,0,2
Madison,1970,Misdemeanor,0,0,1,5,4,10
Monroe,1970,Felony,20,27,3,91,49,190
Monroe,1970,Misdemeanor,0,37,5,89,69,200
Montgomery,1970,Felony,1,0,1,0,0,2
Montgomery,1970,Misdemeanor,0,0,1,4,4,9
Nassau,1970,Felony,18,61,0,64,54,197
Nassau,1970,Misdemeanor,0,49,2,108,83,242
New York,1970,Felony,16,68,0,40,130,254
New York,1970,Misdemeanor,0,255,0,264,541,1060
Niagara,1970,Felony,2,3,0,4,7,16
Niagara,1970,Misdemeanor,0,3,0,28,21,52
Oneida,1970,Felony,0,4,0,18,11,33
Oneida,1970,Misdemeanor,0,8,0,15,14,37
Onondaga,1970,Felony,26,42,0,55,17,140
Onondaga,1970,Misdemeanor,0,5,0,3,2,10
Ontario,1970,Felony,2,1,0,13,0,16
Ontario,1970,Misdemeanor,0,1,1,3,4,9
Orange,1970,Felony,1,2,0,4,3,10
Orange,1970,Misdemeanor,0,9,0,6,6,21
Orleans,1970,Felony,0,0,0,1,0,1
Orleans,1970,Misdemeanor,0,0,0,1,3,4
Oswego,1970,Felony,0,1,0,2,2,5
Oswego,1970,Misdemeanor,0,0,0,5,1,6
Otsego,1970,Felony,0,1,0,5,4,10
Otsego,1970,Misdemeanor,0,1,0,3,0,4
Putnam,1970,Felony,0,2,0,1,1,4
Putnam,1970,Misdemeanor,0,4,1,2,1,8
Queens,1970,Felony,14,26,0,23,51,114
Queens,1970,Misdemeanor,0,53,0,94,148,295
Rensselaer,1970,Felony,0,2,0,7,1,10
Rensselaer,1970,Misdemeanor,0,5,0,12,12,29
Richmond,1970,Felony,0,1,0,0,1,2
Richmond,1970,Misdemeanor,0,6,0,10,7,23
Rockland,1970,Felony,2,4,1,4,4,15
Rockland,1970,Misdemeanor,0,16,0,6,10,32
St. Lawrence,1970,Felony,1,0,1,12,5,19
St. Lawrence,1970,Misdemeanor,0,4,0,7,9,20
Saratoga,1970,Felony,4,1,0,6,2,13
Saratoga,1970,Misdemeanor,0,0,0,6,2,8
Schenectady,1970,Felony,0,2,1,2,1,6
Schenectady,1970,Misdemeanor,0,5,1,6,3,15
Schoharie,1970,Felony,0,1,0,1,0,2
Schoharie,1970,Misdemeanor,0,3,0,3,3,9
Schuyler,1970,Felony,0,1,0,3,1,5
Schuyler,1970,Misdemeanor,0,0,0,0,0,0
Seneca,1970,Felony,0,0,1,1,0,2
Seneca,1970,Misdemeanor,0,1,0,4,1,6
Steuben,1970,Felony,1,4,2,3,1,11
Steuben,1970,Misdemeanor,0,0,0,3,1,4
Suffolk,1970,Felony,9,54,4,44,34,145
Suffolk,1970,Misdemeanor,0,91,3,95,77,266
Sullivan,1970,Felony,2,2,0,2,0,6
Sullivan,1970,Misdemeanor,0,0,0,1,2,3
Tioga,1970,Felony,0,1,0,5,2,8
Tioga,1970,Misdemeanor,0,1,0,0,0,1
Tompkins,1970,Felony,0,4,0,4,1,9
Tompkins,1970,Misdemeanor,0,5,1,7,1,14
Ulster,1970,Felony,1,6,0,3,1,11
Ulster,1970,Misdemeanor,0,6,0,2,2,10
Warren,1970,Felony,0,0,0,1,1,2
Warren,1970,Misdemeanor,0,0,0,3,0,3
Washington,1970,Felony,0,0,0,2,0,2
Washington,1970,Misdemeanor,0,0,0,3,1,4
Wayne,1970,Felony,2,3,0,5,3,13
Wayne,1970,Misdemeanor,0,3,0,9,6,18
Westchester,1970,Felony,18,51,1,60,21,151
Westchester,1970,Misdemeanor,0,96,3,63,45,207
Wyoming,1970,Felony,1,0,0,1,0,2
Wyoming,1970,Misdemeanor,0,1,0,0,0,1
Yates,1970,Felony,1,0,0,0,0,1
Yates,1970,Misdemeanor,0,0,0,0,0,0
Unknown,1970,Misdemeanor,0,0,0,0,0,0
Albany,1971,Felony,9,1,0,29,7,46
Albany,1971,Misdemeanor,0,18,2,54,35,109
Allegany,1971,Felony,4,8,0,12,1,25
Allegany,1971,Misdemeanor,0,8,1,10,4,23
Bronx,1971,Felony,13,68,0,34,108,223
Bronx,1971,Misdemeanor,0,586,1,460,396,1443
Broome,1971,Felony,3,21,2,44,9,79
Broome,1971,Misdemeanor,0,6,0,8,21,35
Cattaraugus,1971,Felony,3,0,2,8,5,18
Cattaraugus,1971,Misdemeanor,0,1,0,8,11,20
Cayuga,1971,Felony,0,0,0,2,2,4
Cayuga,1971,Misdemeanor,0,0,0,0,1,1
Chautauqua,1971,Felony,2,5,0,15,5,27
Chautauqua,1971,Misdemeanor,0,8,0,8,11,27
Chemung,1971,Felony,4,20,2,18,4,48
Chemung,1971,Misdemeanor,0,4,0,6,5,15
Chenango,1971,Felony,0,0,0,3,2,5
Chenango,1971,Misdemeanor,0,1,0,4,6,11
Clinton,1971,Felony,0,0,0,11,0,11
Clinton,1971,Misdemeanor,0,6,1,7,5,19
Columbia,1971,Felony,3,1,0,18,0,22
Columbia,1971,Misdemeanor,0,7,0,11,5,23
Cortland,1971,Felony,1,4,0,3,5,13
Cortland,1971,Misdemeanor,0,2,0,5,2,9
Delaware,1971,Felony,0,1,0,3,3,7
Delaware,1971,Misdemeanor,0,2,1,10,5,18
Dutchess,1971,Felony,4,11,0,3,1,19
Dutchess,1971,Misdemeanor,0,19,1,12,13,45
Erie,1971,Felony,43,26,0,55,25,149
Erie,1971,Misdemeanor,0,81,3,166,152,402
Essex,1971,Felony,1,2,0,4,1,8
Essex,1971,Misdemeanor,0,8,0,11,4,23
Franklin,1971,Felony,0,3,1,9,2,15
Franklin,1971,Misdemeanor,0,8,1,3,2,14
Fulton,1971,Felony,1,0,0,4,0,5
Fulton,1971,Misdemeanor,0,2,0,11,8,21
Genesee,1971,Felony,2,1,0,5,1,9
Genesee,1971,Misdemeanor,0,2,0,12,5,19
Greene,1971,Felony,2,2,0,7,7,18
Greene,1971,Misdemeanor,0,6,0,14,7,27
Hamilton,1971,Felony,0,0,0,1,0,1
Hamilton,1971,Misdemeanor,0,1,0,0,0,1
Herkimer,1971,Felony,1,0,0,5,1,7
Herkimer,1971,Misdemeanor,0,4,0,3,6,13
Jefferson,1971,Felony,3,10,0,26,2,41
Jefferson,1971,Misdemeanor,0,2,1,22,8,33
Kings,1971,Felony,107,118,4,79,631,939
Kings,1971,Misdemeanor,0,287,6,389,293,975
Lewis,1971,Felony,0,3,0,2,1,6
Lewis,1971,Misdemeanor,0,1,0,8,0,9
Livingston,1971,Felony,0,4,0,3,1,8
Livingston,1971,Misdemeanor,0,4,0,4,3,11
Madison,1971,Felony,1,2,0,12,2,17
Madison,1971,Misdemeanor,0,4,0,4,4,12
Monroe,1971,Felony,24,36,5,71,37,173
Monroe,1971,Misdemeanor,0,51,5,131,83,270
Montgomery,1971,Felony,0,0,0,10,0,10
Montgomery,1971,Misdemeanor,0,2,0,14,7,23
Nassau,1971,Felony,27,103,7,95,104,336
Nassau,1971,Misdemeanor,0,128,9,237,222,596
New York,1971,Felony,23,78,0,53,229,383
New York,1971,Misdemeanor,0,381,2,386,1041,1810
Niagara,1971,Felony,5,1,0,17,10,33
Niagara,1971,Misdemeanor,0,16,1,27,18,62
Oneida,1971,Felony,5,19,0,45,13,82
Oneida,1971,Misdemeanor,0,13,0,31,31,75
Onondaga,1971,Felony,35,61,0,78,26,200
Onondaga,1971,Misdemeanor,0,8,0,6,5,19
Ontario,1971,Felony,0,6,0,12,2,20
Ontario,1971,Misdemeanor,0,3,0,11,6,20
Orange,1971,Felony,2,21,1,29,21,74
Orange,1971,Misdemeanor,0,28,1,27,17,73
Orleans,1971,Felony,0,1,0,3,0,4
Orleans,1971,Misdemeanor,0,3,0,3,1,7
Oswego,1971,Felony,0,8,0,18,1,27
Oswego,1971,Misdemeanor,0,2,0,6,4,12
Otsego,1971,Felony,3,5,0,10,4,22
Otsego,1971,Misdemeanor,0,2,0,4,3,9
Putnam,1971,Felony,0,6,0,11,1,18
Putnam,1971,Misdemeanor,0,4,0,2,2,8
Queens,1971,Felony,15,77,0,52,173,317
Queens,1971,Misdemeanor,0,142,1,202,308,653
Rensselaer,1971,Felony,3,7,0,4,2,16
Rensselaer,1971,Misdemeanor,0,19,0,23,14,56
Richmond,1971,Felony,1,17,0,3,8,29
Richmond,1971,Misdemeanor,0,16,1,24,20,61
Rockland,1971,Felony,3,3,0,5,4,15
Rockland,1971,Misdemeanor,0,25,1,9,2,37
St. Lawrence,1971,Felony,3,2,0,17,5,27
St. Lawrence,1971,Misdemeanor,0,6,6,6,3,21
Saratoga,1971,Felony,2,0,0,2,1,5
Saratoga,1971,Misdemeanor,0,4,0,11,3,18
Schenectady,1971,Felony,0,2,0,5,2,9
Schenectady,1971,Misdemeanor,0,4,0,11,3,18
Schoharie,1971,Felony,1,2,0,0,2,5
Schoharie,1971,Misdemeanor,0,4,0,3,6,13
Schuyler,1971,Felony,1,0,0,2,1,4
Schuyler,1971,Misdemeanor,0,1,0,0,2,3
Seneca,1971,Felony,0,0,0,5,2,7
Seneca,1971,Misdemeanor,0,0,0,5,6,11
Steuben,1971,Felony,2,4,0,6,2,14
Steuben,1971,Misdemeanor,0,2,0,4,1,7
Suffolk,1971,Felony,7,92,0,34,40,173
Suffolk,1971,Misdemeanor,0,164,5,131,75,375
Sullivan,1971,Felony,2,2,0,4,0,8
Sullivan,1971,Misdemeanor,0,2,0,2,3,7
Tioga,1971,Felony,0,9,0,3,2,14
Tioga,1971,Misdemeanor,0,0,0,1,4,5
Tompkins,1971,Felony,1,2,2,19,6,30
Tompkins,1971,Misdemeanor,0,13,0,9,3,25
Ulster,1971,Felony,0,9,1,7,1,18
Ulster,1971,Misdemeanor,0,3,0,2,3,8
Warren,1971,Felony,1,2,0,1,0,4
Warren,1971,Misdemeanor,0,1,0,1,2,4
Washington,1971,Felony,0,1,0,5,0,6
Washington,1971,Misdemeanor,0,1,0,3,1,5
Wayne,1971,Felony,0,4,0,2,4,10
Wayne,1971,Misdemeanor,0,14,0,12,16,42
Westchester,1971,Felony,21,130,2,116,51,320
Westchester,1971,Misdemeanor,0,154,0,124,113,391
Wyoming,1971,Felony,0,1,0,7,0,8
Wyoming,1971,Misdemeanor,0,2,0,2,6,10
Yates,1971,Felony,0,0,0,4,0,4
Yates,1971,Misdemeanor,0,0,0,4,3,7
Unknown,1971,Misdemeanor,0,0,0,0,0,0
Albany,1972,Felony,11,16,0,33,17,77
Albany,1972,Misdemeanor,0,43,3,111,70,227
Allegany,1972,Felony,1,2,0,12,2,17
Allegany,1972,Misdemeanor,0,3,1,12,5,21
Bronx,1972,Felony,22,45,0,43,137,247
Bronx,1972,Misdemeanor,0,342,11,512,551,1416
Broome,1972,Felony,8,20,3,37,13,81
Broome,1972,Misdemeanor,0,7,2,17,13,39
Cattaraugus,1972,Felony,3,5,0,4,0,12
Cattaraugus,1972,Misdemeanor,0,8,1,7,7,23
Cayuga,1972,Felony,0,0,0,9,4,13
Cayuga,1972,Misdemeanor,0,0,1,1,2,4
Chautauqua,1972,Felony,1,9,0,6,4,20
Chautauqua,1972,Misdemeanor,0,2,1,38,17,58
Chemung,1972,Felony,4,18,0,16,7,45
Chemung,1972,Misdemeanor,0,9,0,8,5,22
Chenango,1972,Felony,0,1,0,3,1,5
Chenango,1972,Misdemeanor,0,3,0,14,3,20
Clinton,1972,Felony,1,0,0,15,1,17
Clinton,1972,Misdemeanor,0,1,1,17,2,21
Columbia,1972,Felony,1,2,0,10,3,16
Columbia,1972,Misdemeanor,0,5,2,9,5,21
Cortland,1972,Felony,1,4,0,4,1,10
Cortland,1972,Misdemeanor,0,3,1,13,13,30
Delaware,1972,Felony,1,2,0,4,0,7
Delaware,1972,Misdemeanor,0,3,1,16,5,25
Dutchess,1972,Felony,1,3,0,15,4,23
Dutchess,1972,Misdemeanor,0,9,0,19,15,43
Erie,1972,Felony,26,15,1,68,58,168
Erie,1972,Misdemeanor,0,64,3,174,153,394
Essex,1972,Felony,1,0,0,0,1,2
Essex,1972,Misdemeanor,0,1,1,10,2,14
Franklin,1972,Felony,2,2,0,6,1,11
Franklin,1972,Misdemeanor,0,8,1,12,3,24
Fulton,1972,Felony,2,0,0,3,0,5
Fulton,1972,Misdemeanor,0,6,0,17,5,28
Genesee,1972,Felony,2,7,1,7,2,19
Genesee,1972,Misdemeanor,0,10,3,5,15,33
Greene,1972,Felony,1,3,1,6,4,15
Greene,1972,Misdemeanor,0,5,0,5,2,12
Hamilton,1972,Felony,0,2,0,4,2,8
Hamilton,1972,Misdemeanor,0,0,0,6,3,9
Herkimer,1972,Felony,0,1,0,0,0,1
Herkimer,1972,Misdemeanor,0,3,0,14,1,18
Jefferson,1972,Felony,0,10,1,23,3,37
Jefferson,1972,Misdemeanor,0,10,0,34,7,51
Kings,1972,Felony,166,131,14,122,891,1324
Kings,1972,Misdemeanor,0,219,8,696,533,1456
Lewis,1972,Felony,0,0,0,3,0,3
Lewis,1972,Misdemeanor,0,0,0,8,3,11
Livingston,1972,Felony,0,1,0,7,2,10
Livingston,1972,Misdemeanor,0,3,2,6,5,16
Madison,1972,Felony,0,3,0,14,0,17
Madison,1972,Misdemeanor,0,2,1,10,4,17
Monroe,1972,Felony,17,38,4,62,26,147
Monroe,1972,Misdemeanor,0,77,7,203,101,388
Montgomery,1972,Felony,0,0,0,3,0,3
Montgomery,1972,Misdemeanor,0,4,0,8,1,13
Nassau,1972,Felony,27,89,7,96,126,345
Nassau,1972,Misdemeanor,0,153,25,339,288,805
New York,1972,Felony,28,68,1,91,494,682
New York,1972,Misdemeanor,0,356,8,625,1129,2118
Niagara,1972,Felony,2,2,0,2,1,7
Niagara,1972,Misdemeanor,0,10,1,31,42,84
Oneida,1972,Felony,9,5,0,29,14,57
Oneida,1972,Misdemeanor,0,18,1,55,38,112
Onondaga,1972,Felony,34,95,0,94,29,252
Onondaga,1972,Misdemeanor,0,9,0,21,14,44
Ontario,1972,Felony,0,3,1,11,2,17
Ontario,1972,Misdemeanor,0,3,1,15,11,30
Orange,1972,Felony,6,23,1,40,13,83
Orange,1972,Misdemeanor,0,33,2,22,21,78
Orleans,1972,Felony,0,1,0,0,1,2
Orleans,1972,Misdemeanor,0,2,0,5,3,10
Oswego,1972,Felony,0,6,1,25,4,36
Oswego,1972,Misdemeanor,0,3,0,11,5,19
Otsego,1972,Felony,1,6,0,8,0,15
Otsego,1972,Misdemeanor,0,7,0,12,2,21
Putnam,1972,Felony,0,3,2,6,3,14
Putnam,1972,Misdemeanor,0,6,0,9,4,19
Queens,1972,Felony,15,40,1,53,203,312
Queens,1972,Misdemeanor,0,119,11,265,350,745
Rensselaer,1972,Felony,2,6,0,6,8,22
Rensselaer,1972,Misdemeanor,0,21,0,30,22,73
Richmond,1972,Felony,6,24,2,2,32,66
Richmond,1972,Misdemeanor,0,25,1,36,50,112
Rockland,1972,Felony,3,5,0,12,2,22
Rockland,1972,Misdemeanor,0,29,1,37,33,100
St. Lawrence,1972,Felony,1,1,2,29,6,39
St. Lawrence,1972,Misdemeanor,0,1,1,18,12,32
Saratoga,1972,Felony,1,3,0,4,1,9
Saratoga,1972,Misdemeanor,0,5,0,9,6,20
Schenectady,1972,Felony,0,1,0,9,5,15
Schenectady,1972,Misdemeanor,0,2,1,7,3,13
Schoharie,1972,Felony,0,0,0,1,0,1
Schoharie,1972,Misdemeanor,0,1,0,8,0,9
Schuyler,1972,Felony,1,0,0,6,0,7
Schuyler,1972,Misdemeanor,0,2,0,0,0,2
Seneca,1972,Felony,0,0,0,0,1,1
Seneca,1972,Misdemeanor,0,1,1,5,3,10
Steuben,1972,Felony,1,6,0,7,4,18
Steuben,1972,Misdemeanor,0,5,0,20,11,36
Suffolk,1972,Felony,17,61,2,73,51,204
Suffolk,1972,Misdemeanor,0,187,7,223,126,543
Sullivan,1972,Felony,2,2,0,9,0,13
Sullivan,1972,Misdemeanor,0,8,0,6,4,18
Tioga,1972,Felony,0,7,0,9,2,18
Tioga,1972,Misdemeanor,0,0,0,1,1,2
Tompkins,1972,Felony,2,4,0,31,4,41
Tompkins,1972,Misdemeanor,0,5,1,21,14,41
Ulster,1972,Felony,4,20,1,9,3,37
Ulster,1972,Misdemeanor,0,3,0,8,5,16
Warren,1972,Felony,6,3,1,6,0,16
Warren,1972,Misdemeanor,0,8,0,9,5,22
Washington,1972,Felony,0,1,0,5,0,6
Washington,1972,Misdemeanor,0,7,0,8,8,23
Wayne,1972,Felony,1,3,1,14,1,20
Wayne,1972,Misdemeanor,0,2,0,8,9,19
Westchester,1972,Felony,41,88,7,114,73,323
Westchester,1972,Misdemeanor,0,110,12,151,127,400
Wyoming,1972,Felony,1,1,0,10,2,14
Wyoming,1972,Misdemeanor,0,0,1,9,2,12
Yates,1972,Felony,0,0,0,1,0,1
Yates,1972,Misdemeanor,0,0,0,3,1,4
Unknown,1972,Misdemeanor,0,0,0,1,0,1
Albany,1973,Felony,3,21,7,29,14,74
Albany,1973,Misdemeanor,0,56,23,91,114,284
Allegany,1973,Felony,0,2,1,2,1,6
Allegany,1973,Misdemeanor,0,2,1,10,0,13
Bronx,1973,Felony,22,40,0,70,206,338
Bronx,1973,Misdemeanor,0,106,4,451,520,1081
Broome,1973,Felony,11,13,6,67,19,116
Broome,1973,Misdemeanor,0,5,5,16,13,39
Cattaraugus,1973,Felony,0,1,1,5,2,9
Cattaraugus,1973,Misdemeanor,0,7,4,10,8,29
Cayuga,1973,Felony,0,2,0,0,0,2
Cayuga,1973,Misdemeanor,0,1,0,3,2,6
Chautauqua,1973,Felony,2,6,0,6,2,16
Chautauqua,1973,Misdemeanor,0,6,3,29,9,47
Chemung,1973,Felony,3,16,0,22,1,42
Chemung,1973,Misdemeanor,0,2,2,10,10,24
Chenango,1973,Felony,0,0,0,3,0,3
Chenango,1973,Misdemeanor,0,2,1,6,2,11
Clinton,1973,Felony,0,1,1,3,1,6
Clinton,1973,Misdemeanor,0,2,1,5,3,11
Columbia,1973,Felony,0,2,0,12,1,15
Columbia,1973,Misdemeanor,0,6,2,12,20,40
Cortland,1973,Felony,6,3,0,5,3,17
Cortland,1973,Misdemeanor,0,4,0,6,8,18
Delaware,1973,Felony,0,6,0,5,2,13
Delaware,1973,Misdemeanor,0,6,3,9,4,22
Dutchess,1973,Felony,3,0,1,13,5,22
Dutchess,1973,Misdemeanor,0,16,1,33,25,75
Erie,1973,Felony,17,24,0,40,49,130
Erie,1973,Misdemeanor,0,86,33,140,330,589
Essex,1973,Felony,0,0,0,0,0,0
Essex,1973,Misdemeanor,0,3,1,1,2,7
Franklin,1973,Felony,0,0,0,1,5,6
Franklin,1973,Misdemeanor,0,4,0,4,10,18
Fulton,1973,Felony,0,0,0,5,3,8
Fulton,1973,Misdemeanor,0,5,0,13,6,24
Genesee,1973,Felony,0,6,1,4,3,14
Genesee,1973,Misdemeanor,0,4,2,14,15,35
Greene,1973,Felony,2,18,0,7,2,29
Greene,1973,Misdemeanor,0,3,0,16,11,30
Hamilton,1973,Felony,0,3,0,2,0,5
Hamilton,1973,Misdemeanor,0,0,0,0,2,2
Herkimer,1973,Felony,3,0,0,1,0,4
Herkimer,1973,Misdemeanor,0,1,1,7,4,13
Jefferson,1973,Felony,0,0,0,6,0,6
Jefferson,1973,Misdemeanor,0,7,0,15,5,27
Kings,1973,Felony,194,175,21,162,932,1484
Kings,1973,Misdemeanor,0,96,18,540,583,1237
Lewis,1973,Felony,0,0,0,3,2,5
Lewis,1973,Misdemeanor,0,0,0,15,4,19
Livingston,1973,Felony,1,2,0,5,2,10
Livingston,1973,Misdemeanor,0,2,0,7,3,12
Madison,1973,Felony,1,3,0,8,1,13
Madison,1973,Misdemeanor,0,1,0,13,3,17
Monroe,1973,Felony,11,31,3,56,45,146
Monroe,1973,Misdemeanor,0,69,50,142,104,365
Montgomery,1973,Felony,1,0,0,0,0,1
Montgomery,1973,Misdemeanor,0,2,2,15,10,29
Nassau,1973,Felony,8,68,6,50,95,227
Nassau,1973,Misdemeanor,0,118,26,197,285,626
New York,1973,Felony,51,145,0,84,531,811
New York,1973,Misdemeanor,0,189,9,569,892,1659
Niagara,1973,Felony,1,14,0,13,4,32
Niagara,1973,Misdemeanor,0,14,1,32,22,69
Oneida,1973,Felony,9,6,1,16,13,45
Oneida,1973,Misdemeanor,0,14,1,31,30,76
Onondaga,1973,Felony,13,46,3,37,24,123
Onondaga,1973,Misdemeanor,0,38,12,30,30,110
Ontario,1973,Felony,0,1,2,9,1,13
Ontario,1973,Misdemeanor,0,4,8,16,14,42
Orange,1973,Felony,0,13,4,26,16,59
Orange,1973,Misdemeanor,0,35,11,43,36,125
Orleans,1973,Felony,0,0,0,1,0,1
Orleans,1973,Misdemeanor,0,1,1,1,3,6
Oswego,1973,Felony,0,6,1,7,2,16
Oswego,1973,Misdemeanor,0,2,0,7,1,10
Otsego,1973,Felony,1,4,1,4,1,11
Otsego,1973,Misdemeanor,0,6,2,6,5,19
Putnam,1973,Felony,0,2,0,5,2,9
Putnam,1973,Misdemeanor,0,3,0,5,1,9
Queens,1973,Felony,16,23,6,76,281,402
Queens,1973,Misdemeanor,0,71,16,276,378,741
Rensselaer,1973,Felony,2,8,0,2,4,16
Rensselaer,1973,Misdemeanor,0,10,1,32,24,67
Richmond,1973,Felony,11,14,2,20,32,79
Richmond,1973,Misdemeanor,0,18,0,25,30,73
Rockland,1973,Felony,2,6,0,11,10,29
Rockland,1973,Misdemeanor,0,22,2,31,19,74
St. Lawrence,1973,Felony,1,3,1,3,0,8
St. Lawrence,1973,Misdemeanor,0,0,0,15,6,21
Saratoga,1973,Felony,2,1,0,4,2,9
Saratoga,1973,Misdemeanor,0,2,1,10,2,15
Schenectady,1973,Felony,1,3,0,10,1,15
Schenectady,1973,Misdemeanor,0,13,2,11,13,39
Schoharie,1973,Felony,0,3,0,0,1,4
Schoharie,1973,Misdemeanor,0,0,1,7,5,13
Schuyler,1973,Felony,0,0,2,0,1,3
Schuyler,1973,Misdemeanor,0,1,0,3,5,9
Seneca,1973,Felony,0,1,0,0,0,1
Seneca,1973,Misdemeanor,0,1,0,3,2,6
Steuben,1973,Felony,0,5,0,2,2,9
Steuben,1973,Misdemeanor,0,3,4,7,13,27
Suffolk,1973,Felony,5,29,0,27,57,118
Suffolk,1973,Misdemeanor,0,165,100,162,240,667
Sullivan,1973,Felony,0,0,0,1,2,3
Sullivan,1973,Misdemeanor,0,4,5,18,8,35
Tioga,1973,Felony,2,4,0,7,1,14
Tioga,1973,Misdemeanor,0,3,0,2,2,7
Tompkins,1973,Felony,1,8,0,17,5,31
Tompkins,1973,Misdemeanor,0,8,2,15,12,37
Ulster,1973,Felony,0,10,0,4,3,17
Ulster,1973,Misdemeanor,0,3,1,8,7,19
Warren,1973,Felony,0,0,1,4,1,6
Warren,1973,Misdemeanor,0,1,2,17,2,22
Washington,1973,Felony,0,1,0,0,0,1
Washington,1973,Misdemeanor,0,0,0,7,1,8
Wayne,1973,Felony,2,4,4,13,2,25
Wayne,1973,Misdemeanor,0,1,1,8,7,17
Westchester,1973,Felony,18,45,3,51,33,150
Westchester,1973,Misdemeanor,0,65,32,112,122,331
Wyoming,1973,Felony,0,1,0,4,0,5
Wyoming,1973,Misdemeanor,0,2,0,6,5,13
Yates,1973,Felony,0,3,0,0,0,3
Yates,1973,Misdemeanor,0,0,1,1,0,2
Unknown,1973,Misdemeanor,0,0,0,0,0,0
Albany,1974,Felony,4,4,1,12,12,33
Albany,1974,Misdemeanor,0,49,24,183,116,372
Allegany,1974,Felony,0,1,0,2,3,6
Allegany,1974,Misdemeanor,0,7,1,18,1,27
Bronx,1974,Felony,38,23,0,55,263,379
Bronx,1974,Misdemeanor,0,98,14,661,390,1163
Broome,1974,Felony,8,17,4,83,21,133
Broome,1974,Misdemeanor,0,7,4,19,12,42
Cattaraugus,1974,Felony,0,3,0,1,1,5
Cattaraugus,1974,Misdemeanor,0,11,1,21,11,44
Cayuga,1974,Felony,0,0,0,4,0,4
Cayuga,1974,Misdemeanor,0,2,2,2,3,9
Chautauqua,1974,Felony,3,2,2,3,1,11
Chautauqua,1974,Misdemeanor,0,8,5,58,24,95
Chemung,1974,Felony,2,19,0,28,6,55
Chemung,1974,Misdemeanor,0,11,1,18,8,38
Chenango,1974,Felony,0,1,0,0,0,1
Chenango,1974,Misdemeanor,0,8,0,9,1,18
Clinton,1974,Felony,2,1,0,4,0,7
Clinton,1974,Misdemeanor,0,8,1,22,12,43
Columbia,1974,Felony,1,4,0,25,3,33
Columbia,1974,Misdemeanor,0,8,3,31,16,58
Cortland,1974,Felony,1,2,0,7,1,11
Cortland,1974,Misdemeanor,0,6,0,8,9,23
Delaware,1974,Felony,0,0,0,2,0,2
Delaware,1974,Misdemeanor,0,7,0,10,2,19
Dutchess,1974,Felony,8,15,2,39,19,83
Dutchess,1974,Misdemeanor,0,14,2,61,30,107
Erie,1974,Felony,17,34,0,50,43,144
Erie,1974,Misdemeanor,0,171,84,445,430,1130
Essex,1974,Felony,2,0,0,2,0,4
Essex,1974,Misdemeanor,0,4,2,11,2,19
