County,Year,Conviction,Violent Felony Offenses (VFO),Drugs,DWI,Property,Other,Total
Broome,2016,Misdemeanor,0,56,50,133,117,356
Cattaraugus,2016,Felony,2,17,17,15,18,69
Cattaraugus,2016,Misdemeanor,0,9,29,44,49,131
Cayuga,2016,Felony,5,9,16,8,15,53
Cayuga,2016,Misdemeanor,0,16,43,53,69,181
Chautauqua,2016,Felony,7,19,24,20,16,86
Chautauqua,2016,Misdemeanor,0,39,38,112,148,337
Chemung,2016,Felony,3,17,41,36,14,111
Chemung,2016,Misdemeanor,0,31,23,45,49,148
Chenango,2016,Felony,3,12,4,8,12,39
Chenango,2016,Misdemeanor,0,9,7,14,28,58
Clinton,2016,Felony,8,24,30,16,27,105
Clinton,2016,Misdemeanor,0,22,27,43,49,141
Columbia,2016,Felony,2,10,19,12,6,49
Columbia,2016,Misdemeanor,0,10,3,8,13,34
Cortland,2016,Felony,0,15,11,18,12,56
Cortland,2016,Misdemeanor,0,20,13,46,69,148
Delaware,2016,Felony,1,18,1,7,3,30
Delaware,2016,Misdemeanor,0,8,8,11,15,42
Dutchess,2016,Felony,6,24,27,37,37,131
Dutchess,2016,Misdemeanor,0,30,88,142,153,413
Erie,2016,Felony,126,50,170,75,113,534
Erie,2016,Misdemeanor,0,87,126,179,177,569
Essex,2016,Felony,0,15,4,4,3,26
Essex,2016,Misdemeanor,0,5,14,16,30,65
Franklin,2016,Felony,3,8,18,13,4,46
Franklin,2016,Misdemeanor,0,5,23,26,32,86
Fulton,2016,Felony,1,6,2,11,7,27
Fulton,2016,Misdemeanor,0,12,12,30,35,89
Genesee,2016,Felony,4,8,30,12,21,75
Genesee,2016,Misdemeanor,0,9,44,46,65,164
Greene,2016,Felony,2,10,10,9,11,42
Greene,2016,Misdemeanor,0,11,16,4,20,51
Hamilton,2016,Felony,0,0,1,1,1,3
Hamilton,2016,Misdemeanor,0,0,0,0,1,1
Herkimer,2016,Felony,3,0,13,11,6,33
Herkimer,2016,Misdemeanor,0,8,11,27,26,72
Jefferson,2016,Felony,17,46,20,36,17,136
Jefferson,2016,Misdemeanor,0,13,20,94,116,243
Kings,2016,Felony,120,81,53,56,206,516
Kings,2016,Misdemeanor,0,65,62,72,221,420
Lewis,2016,Felony,3,8,9,9,5,34
Lewis,2016,Misdemeanor,0,6,4,11,10,31
Livingston,2016,Felony,7,11,35,14,21,88
Livingston,2016,Misdemeanor,0,19,29,18,34,100
Madison,2016,Felony,6,6,9,14,13,48
Madison,2016,Misdemeanor,0,5,10,24,30,69
Monroe,2016,Felony,140,41,231,63,143,618
Monroe,2016,Misdemeanor,0,106,394,299,398,1197
Montgomery,2016,Felony,5,9,10,18,9,51
Montgomery,2016,Misdemeanor,0,10,3,26,23,62
Nassau,2016,Felony,81,65,193,48,130,517
Nassau,2016,Misdemeanor,0,151,745,179,363,1438
New York,2016,Felony,196,420,45,245,281,1187
New York,2016,Misdemeanor,0,90,10,122,265,487
Niagara,2016,Felony,12,15,17,11,17,72
Niagara,2016,Misdemeanor,0,38,62,83,110,293
Oneida,2016,Felony,24,42,31,31,36,164
Oneida,2016,Misdemeanor,0,47,46,121,138,352
Onondaga,2016,Felony,39,59,43,71,114,326
Onondaga,2016,Misdemeanor,0,250,205,382,380,1217
Ontario,2016,Felony,16,10,69,32,37,164
Ontario,2016,Misdemeanor,0,12,45,64,62,183
Orange,2016,Felony,13,60,76,54,55,258
Orange,2016,Misdemeanor,0,40,205,105,110,460
Orleans,2016,Felony,4,9,0,4,4,21
Orleans,2016,Misdemeanor,0,7,18,31,6,62
Oswego,2016,Felony,8,27,16,22,36,109
Oswego,2016,Misdemeanor,0,32,35,72,61,200
Otsego,2016,Felony,3,11,10,3,5,32
Otsego,2016,Misdemeanor,0,8,10,9,16,43
Putnam,2016,Felony,5,2,11,1,2,21
Putnam,2016,Misdemeanor,0,20,15,15,14,64
Queens,2016,Felony,162,58,73,94,153,540
Queens,2016,Misdemeanor,0,47,112,121,159,439
Rensselaer,2016,Felony,3,24,30,10,20,87
Rensselaer,2016,Misdemeanor,0,21,22,52,76,171
